Movie Title,Year (Top Grossing),Critics (From RT),Voting Member
Avatar: The Way of Water,2022,76,Critics (From RT)
Top Gun: Maverick,2022,96,Critics (From RT)
Jurassic World: Dominion,2022,29,Critics (From RT)
Doctor Strange in the Multiverse of Madness,2022,74,Critics (From RT)
Minions: The Rise of Gru,2022,70,Critics (From RT)
Black Panther: Wakanda Forever,2022,84,Critics (From RT)
The Batman,2022,85,Critics (From RT)
Thor: Love and Thunder,2022,63,Critics (From RT)
 Fantastic Beasts: The Secrets of Dumbledore,2022,46,Critics (From RT)
Puss in Boots: The Last Wish,2022,95,Critics (From RT)
Spider-Man: No Way Home,2021,93,Critics (From RT)
Shang-Chi and the Legend of the Ten Rings,2021,91,Critics (From RT)
Venom: Let There Be Carnage,2021,57,Critics (From RT)
Black Widow,2021,79,Critics (From RT)
F9: The Fast Saga,2021,60,Critics (From RT)
Eternals,2021,47,Critics (From RT)
No Time to Die,2021,83,Critics (From RT)
A Quiet Place Part II,2021,91,Critics (From RT)
Ghostbusters: Afterlife,2021,63,Critics (From RT)
Free Guy,2021,80,Critics (From RT)
Bad Boys for Life,2020,76,Critics (From RT)
1917,2020,89,Critics (From RT)
Sonic the Hedgehog,2020,64,Critics (From RT)
Jumanji: The Next Level,2020,71,Critics (From RT)
Star Wars: Episode IX - The Rise of Skywalker,2020,52,Critics (From RT)
Birds of Prey,2020,78,Critics (From RT)
Dolittle,2020,15,Critics (From RT)
Little Women,2020,95,Critics (From RT)
The Invisible Man,2020,92,Critics (From RT)
The Call of the Wild,2020,63,Critics (From RT)
Avengers: Endgame,2019,94,Critics (From RT)
The Lion King,2019,52,Critics (From RT)
Toy Story 4,2019,97,Critics (From RT)
Frozen II,2019,77,Critics (From RT)
Captain Marvel,2019,79,Critics (From RT)
Spider-Man: Far from Home,2019,90,Critics (From RT)
Aladdin,2019,57,Critics (From RT)
Joker,2019,69,Critics (From RT)
It Chapter Two,2019,62,Critics (From RT)
Black Panther,2018,96,Critics (From RT)
Avengers: Infinity War,2018,85,Critics (From RT)
Incredibles 2,2018,93,Critics (From RT)
Jurassic World: Fallen Kingdom,2018,47,Critics (From RT)
Deadpool 2,2018,84,Critics (From RT)
The Grinch,2018,59,Critics (From RT)
Jumanji: Welcome to the Jungle,2018,76,Critics (From RT)
Mission: Impossible - Fallout,2018,97,Critics (From RT)
Ant-Man and the Wasp,2018,87,Critics (From RT)
Solo: A Star Wars Story,2018,69,Critics (From RT)
Star Wars: Episode VIII - The Last Jedi,2017,91,Critics (From RT)
Beauty and the Beast,2017,71,Critics (From RT)
Wonder Woman,2017,93,Critics (From RT)
Guardians of the Galaxy Vol. 2,2017,85,Critics (From RT)
Spider-Man: Homecoming,2017,92,Critics (From RT)
It,2017,86,Critics (From RT)
Thor: Ragnarok,2017,93,Critics (From RT)
Despicable Me 3,2017,59,Critics (From RT)
Logan,2017,94,Critics (From RT)
The Fate of the Furious,2017,67,Critics (From RT)
Finding Dory,2016,94,Critics (From RT)
Rogue One: A Star Wars Story,2016,84,Critics (From RT)
Captain America: Civil War,2016,90,Critics (From RT)
The Secret Life of Pets,2016,60,Critics (From RT)
The Jungle Book,2016,94,Critics (From RT)
Deadpool,2016,85,Critics (From RT)
Zootopia,2016,98,Critics (From RT)
Batman v Superman: Dawn of Justice,2016,29,Critics (From RT)
Suicide Squad,2016,26,Critics (From RT)
Star Wars: Episode VII - The Force Awakens,2016,93,Critics (From RT)
Jurassic World,2015,71,Critics (From RT)
Avengers: Age of Ultron,2015,76,Critics (From RT)
Inside Out,2015,98,Critics (From RT)
Furious 7,2015,81,Critics (From RT)
American Sniper,2015,72,Critics (From RT)
Minions,2015,55,Critics (From RT)
The Hunger Games: Mockingjay - Part 2,2015,70,Critics (From RT)
The Martian,2015,91,Critics (From RT)
Cinderella,2015,83,Critics (From RT)
Avatar: The Way of Water,2022,92,Rotten Tomato Fans
Top Gun: Maverick,2022,99,Rotten Tomato Fans
Jurassic World: Dominion,2022,77,Rotten Tomato Fans
Doctor Strange in the Multiverse of Madness,2022,85,Rotten Tomato Fans
Minions: The Rise of Gru,2022,89,Rotten Tomato Fans
Black Panther: Wakanda Forever,2022,94,Rotten Tomato Fans
The Batman,2022,87,Rotten Tomato Fans
Thor: Love and Thunder,2022,77,Rotten Tomato Fans
 Fantastic Beasts: The Secrets of Dumbledore,2022,83,Rotten Tomato Fans
Puss in Boots: The Last Wish,2022,94,Rotten Tomato Fans
Spider-Man: No Way Home,2021,98,Rotten Tomato Fans
Shang-Chi and the Legend of the Ten Rings,2021,98,Rotten Tomato Fans
Venom: Let There Be Carnage,2021,84,Rotten Tomato Fans
Black Widow,2021,91,Rotten Tomato Fans
F9: The Fast Saga,2021,82,Rotten Tomato Fans
Eternals,2021,77,Rotten Tomato Fans
No Time to Die,2021,88,Rotten Tomato Fans
A Quiet Place Part II,2021,92,Rotten Tomato Fans
Ghostbusters: Afterlife,2021,94,Rotten Tomato Fans
Free Guy,2021,94,Rotten Tomato Fans
Bad Boys for Life,2020,96,Rotten Tomato Fans
1917,2020,88,Rotten Tomato Fans
Sonic the Hedgehog,2020,93,Rotten Tomato Fans
Jumanji: The Next Level,2020,87,Rotten Tomato Fans
Star Wars: Episode IX - The Rise of Skywalker,2020,86,Rotten Tomato Fans
Birds of Prey,2020,78,Rotten Tomato Fans
Dolittle,2020,76,Rotten Tomato Fans
Little Women,2020,92,Rotten Tomato Fans
The Invisible Man,2020,88,Rotten Tomato Fans
The Call of the Wild,2020,89,Rotten Tomato Fans
Avengers: Endgame,2019,90,Rotten Tomato Fans
The Lion King,2019,88,Rotten Tomato Fans
Toy Story 4,2019,94,Rotten Tomato Fans
Frozen II,2019,92,Rotten Tomato Fans
Captain Marvel,2019,45,Rotten Tomato Fans
Spider-Man: Far from Home,2019,95,Rotten Tomato Fans
Aladdin,2019,94,Rotten Tomato Fans
Joker,2019,88,Rotten Tomato Fans
It Chapter Two,2019,78,Rotten Tomato Fans
Black Panther,2018,79,Rotten Tomato Fans
Avengers: Infinity War,2018,92,Rotten Tomato Fans
Incredibles 2,2018,84,Rotten Tomato Fans
Jurassic World: Fallen Kingdom,2018,48,Rotten Tomato Fans
Deadpool 2,2018,85,Rotten Tomato Fans
The Grinch,2018,51,Rotten Tomato Fans
Jumanji: Welcome to the Jungle,2018,87,Rotten Tomato Fans
Mission: Impossible - Fallout,2018,88,Rotten Tomato Fans
Ant-Man and the Wasp,2018,80,Rotten Tomato Fans
Solo: A Star Wars Story,2018,63,Rotten Tomato Fans
Star Wars: Episode VIII - The Last Jedi,2017,42,Rotten Tomato Fans
Beauty and the Beast,2017,80,Rotten Tomato Fans
Wonder Woman,2017,83,Rotten Tomato Fans
Guardians of the Galaxy Vol. 2,2017,87,Rotten Tomato Fans
Spider-Man: Homecoming,2017,87,Rotten Tomato Fans
It,2017,84,Rotten Tomato Fans
Thor: Ragnarok,2017,87,Rotten Tomato Fans
Despicable Me 3,2017,53,Rotten Tomato Fans
Logan,2017,90,Rotten Tomato Fans
The Fate of the Furious,2017,72,Rotten Tomato Fans
Finding Dory,2016,84,Rotten Tomato Fans
Rogue One: A Star Wars Story,2016,87,Rotten Tomato Fans
Captain America: Civil War,2016,89,Rotten Tomato Fans
The Secret Life of Pets,2016,90,Rotten Tomato Fans
The Jungle Book,2016,86,Rotten Tomato Fans
Deadpool,2016,90,Rotten Tomato Fans
Zootopia,2016,92,Rotten Tomato Fans
Batman v Superman: Dawn of Justice,2016,63,Rotten Tomato Fans
Suicide Squad,2016,58,Rotten Tomato Fans
Star Wars: Episode VII - The Force Awakens,2016,85,Rotten Tomato Fans
Jurassic World,2015,78,Rotten Tomato Fans
Avengers: Age of Ultron,2015,82,Rotten Tomato Fans
Inside Out,2015,89,Rotten Tomato Fans
Furious 7,2015,82,Rotten Tomato Fans
